# Generated by tools/gen-glibc-versions.py for x86_64. Do not edit.
# Older versions of a function that glibc keeps beside its default and
# that ferrousli's one definition answers too: one `name VERSION` a line.
__isnanf128 GLIBC_2.26
__libc_start_main GLIBC_2.2.5
__mq_open_2 GLIBC_2.7
__pthread_cleanup_routine GLIBC_2.3.3
__pthread_key_create GLIBC_2.2.5
__pthread_register_cancel GLIBC_2.3.3
__pthread_register_cancel_defer GLIBC_2.3.3
__pthread_unregister_cancel GLIBC_2.3.3
__pthread_unregister_cancel_restore GLIBC_2.3.3
__pthread_unwind_next GLIBC_2.3.3
_pthread_cleanup_pop GLIBC_2.2.5
_pthread_cleanup_push GLIBC_2.2.5
acosf GLIBC_2.2.5
acoshf GLIBC_2.2.5
aio_cancel GLIBC_2.2.5
aio_cancel64 GLIBC_2.2.5
aio_error GLIBC_2.2.5
aio_error64 GLIBC_2.2.5
aio_fsync GLIBC_2.2.5
aio_fsync64 GLIBC_2.2.5
aio_init GLIBC_2.2.5
aio_read GLIBC_2.2.5
aio_read64 GLIBC_2.2.5
aio_return GLIBC_2.2.5
aio_return64 GLIBC_2.2.5
aio_suspend GLIBC_2.2.5
aio_suspend64 GLIBC_2.2.5
aio_write GLIBC_2.2.5
aio_write64 GLIBC_2.2.5
asinf GLIBC_2.2.5
atan2f GLIBC_2.2.5
atanhf GLIBC_2.2.5
call_once GLIBC_2.28
clock_getcpuclockid GLIBC_2.2.5
clock_getres GLIBC_2.2.5
clock_gettime GLIBC_2.2.5
clock_nanosleep GLIBC_2.2.5
clock_settime GLIBC_2.2.5
cnd_broadcast GLIBC_2.28
cnd_destroy GLIBC_2.28
cnd_init GLIBC_2.28
cnd_signal GLIBC_2.28
cnd_timedwait GLIBC_2.28
cnd_wait GLIBC_2.28
coshf GLIBC_2.2.5
dladdr GLIBC_2.2.5
dladdr1 GLIBC_2.3.3
dlclose GLIBC_2.2.5
dlerror GLIBC_2.2.5
dlinfo GLIBC_2.3.3
dlmopen GLIBC_2.3.4
dlopen GLIBC_2.2.5
dlsym GLIBC_2.2.5
dlvsym GLIBC_2.2.5
exp GLIBC_2.2.5
exp10 GLIBC_2.2.5
exp10f GLIBC_2.2.5
exp2 GLIBC_2.2.5
exp2f GLIBC_2.2.5
expf GLIBC_2.2.5
fmod GLIBC_2.2.5
fmodf GLIBC_2.2.5
forkpty GLIBC_2.2.5
gai_cancel GLIBC_2.2.5
gai_error GLIBC_2.2.5
gai_suspend GLIBC_2.2.5
getaddrinfo_a GLIBC_2.2.5
hypot GLIBC_2.2.5
hypotf GLIBC_2.2.5
j0f GLIBC_2.2.5
j1f GLIBC_2.2.5
jnf GLIBC_2.2.5
lgamma GLIBC_2.2.5
lgammaf GLIBC_2.2.5
lgammaf GLIBC_2.23
lgammaf_r GLIBC_2.2.5
lgammal GLIBC_2.2.5
lio_listio GLIBC_2.4
lio_listio64 GLIBC_2.4
log GLIBC_2.2.5
log10f GLIBC_2.2.5
log2 GLIBC_2.2.5
log2f GLIBC_2.2.5
logf GLIBC_2.2.5
login GLIBC_2.2.5
login_tty GLIBC_2.2.5
logout GLIBC_2.2.5
logwtmp GLIBC_2.2.5
mq_close GLIBC_2.3.4
mq_getattr GLIBC_2.3.4
mq_notify GLIBC_2.3.4
mq_open GLIBC_2.3.4
mq_receive GLIBC_2.3.4
mq_send GLIBC_2.3.4
mq_setattr GLIBC_2.3.4
mq_timedreceive GLIBC_2.3.4
mq_timedsend GLIBC_2.3.4
mq_unlink GLIBC_2.3.4
mtx_destroy GLIBC_2.28
mtx_init GLIBC_2.28
mtx_lock GLIBC_2.28
mtx_timedlock GLIBC_2.28
mtx_trylock GLIBC_2.28
mtx_unlock GLIBC_2.28
ns_name_compress GLIBC_2.9
ns_name_ntop GLIBC_2.9
ns_name_pack GLIBC_2.9
ns_name_pton GLIBC_2.9
ns_name_skip GLIBC_2.9
ns_name_uncompress GLIBC_2.9
ns_name_unpack GLIBC_2.9
openpty GLIBC_2.2.5
pow GLIBC_2.2.5
powf GLIBC_2.2.5
pthread_attr_getaffinity_np GLIBC_2.3.4
pthread_attr_getguardsize GLIBC_2.2.5
pthread_attr_getstack GLIBC_2.2.5
pthread_attr_getstackaddr GLIBC_2.2.5
pthread_attr_getstacksize GLIBC_2.2.5
pthread_attr_setaffinity_np GLIBC_2.3.4
pthread_attr_setguardsize GLIBC_2.2.5
pthread_attr_setstack GLIBC_2.2.5
pthread_attr_setstackaddr GLIBC_2.2.5
pthread_attr_setstacksize GLIBC_2.2.5
pthread_barrier_destroy GLIBC_2.2.5
pthread_barrier_init GLIBC_2.2.5
pthread_barrier_wait GLIBC_2.2.5
pthread_barrierattr_destroy GLIBC_2.2.5
pthread_barrierattr_getpshared GLIBC_2.3.3
pthread_barrierattr_init GLIBC_2.2.5
pthread_barrierattr_setpshared GLIBC_2.2.5
pthread_cancel GLIBC_2.2.5
pthread_clockjoin_np GLIBC_2.31
pthread_cond_clockwait GLIBC_2.30
pthread_condattr_getclock GLIBC_2.3.3
pthread_condattr_getpshared GLIBC_2.2.5
pthread_condattr_setclock GLIBC_2.3.3
pthread_condattr_setpshared GLIBC_2.2.5
pthread_create GLIBC_2.2.5
pthread_detach GLIBC_2.2.5
pthread_getaffinity_np GLIBC_2.3.4
pthread_getattr_default_np GLIBC_2.18
pthread_getattr_np GLIBC_2.2.5
pthread_getconcurrency GLIBC_2.2.5
pthread_getcpuclockid GLIBC_2.2.5
pthread_getname_np GLIBC_2.12
pthread_getspecific GLIBC_2.2.5
pthread_join GLIBC_2.2.5
pthread_key_create GLIBC_2.2.5
pthread_key_delete GLIBC_2.2.5
pthread_kill GLIBC_2.2.5
pthread_mutex_clocklock GLIBC_2.30
pthread_mutex_consistent GLIBC_2.12
pthread_mutex_getprioceiling GLIBC_2.4
pthread_mutex_setprioceiling GLIBC_2.4
pthread_mutex_timedlock GLIBC_2.2.5
pthread_mutex_trylock GLIBC_2.2.5
pthread_mutexattr_destroy GLIBC_2.2.5
pthread_mutexattr_getprioceiling GLIBC_2.4
pthread_mutexattr_getprotocol GLIBC_2.4
pthread_mutexattr_getpshared GLIBC_2.2.5
pthread_mutexattr_getrobust GLIBC_2.12
pthread_mutexattr_gettype GLIBC_2.2.5
pthread_mutexattr_init GLIBC_2.2.5
pthread_mutexattr_setprioceiling GLIBC_2.4
pthread_mutexattr_setprotocol GLIBC_2.4
pthread_mutexattr_setpshared GLIBC_2.2.5
pthread_mutexattr_setrobust GLIBC_2.12
pthread_mutexattr_settype GLIBC_2.2.5
pthread_once GLIBC_2.2.5
pthread_rwlock_clockrdlock GLIBC_2.30
pthread_rwlock_clockwrlock GLIBC_2.30
pthread_rwlock_destroy GLIBC_2.2.5
pthread_rwlock_init GLIBC_2.2.5
pthread_rwlock_rdlock GLIBC_2.2.5
pthread_rwlock_timedrdlock GLIBC_2.2.5
pthread_rwlock_timedwrlock GLIBC_2.2.5
pthread_rwlock_tryrdlock GLIBC_2.2.5
pthread_rwlock_trywrlock GLIBC_2.2.5
pthread_rwlock_unlock GLIBC_2.2.5
pthread_rwlock_wrlock GLIBC_2.2.5
pthread_rwlockattr_destroy GLIBC_2.2.5
pthread_rwlockattr_getkind_np GLIBC_2.2.5
pthread_rwlockattr_getpshared GLIBC_2.2.5
pthread_rwlockattr_init GLIBC_2.2.5
pthread_rwlockattr_setkind_np GLIBC_2.2.5
pthread_rwlockattr_setpshared GLIBC_2.2.5
pthread_setaffinity_np GLIBC_2.3.4
pthread_setattr_default_np GLIBC_2.18
pthread_setconcurrency GLIBC_2.2.5
pthread_setname_np GLIBC_2.12
pthread_setschedprio GLIBC_2.3.4
pthread_setspecific GLIBC_2.2.5
pthread_sigmask GLIBC_2.2.5
pthread_sigqueue GLIBC_2.11
pthread_spin_destroy GLIBC_2.2.5
pthread_spin_init GLIBC_2.2.5
pthread_spin_lock GLIBC_2.2.5
pthread_spin_trylock GLIBC_2.2.5
pthread_spin_unlock GLIBC_2.2.5
pthread_testcancel GLIBC_2.2.5
pthread_timedjoin_np GLIBC_2.3.3
pthread_tryjoin_np GLIBC_2.3.3
remainder GLIBC_2.2.5
remainderf GLIBC_2.2.5
sem_clockwait GLIBC_2.30
sem_close GLIBC_2.2.5
sem_destroy GLIBC_2.2.5
sem_getvalue GLIBC_2.2.5
sem_init GLIBC_2.2.5
sem_open GLIBC_2.2.5
sem_post GLIBC_2.2.5
sem_timedwait GLIBC_2.2.5
sem_trywait GLIBC_2.2.5
sem_unlink GLIBC_2.2.5
sem_wait GLIBC_2.2.5
shm_open GLIBC_2.2.5
shm_unlink GLIBC_2.2.5
sinhf GLIBC_2.2.5
sqrtf GLIBC_2.2.5
tgammaf GLIBC_2.2.5
thrd_create GLIBC_2.28
thrd_detach GLIBC_2.28
thrd_exit GLIBC_2.28
thrd_join GLIBC_2.28
timer_create GLIBC_2.3.3
timer_delete GLIBC_2.3.3
timer_getoverrun GLIBC_2.3.3
timer_gettime GLIBC_2.3.3
timer_settime GLIBC_2.3.3
tss_create GLIBC_2.28
tss_delete GLIBC_2.28
tss_get GLIBC_2.28
tss_set GLIBC_2.28
y0f GLIBC_2.2.5
y1f GLIBC_2.2.5
ynf GLIBC_2.2.5
